-86.752554,33.460451,3100 Cahaba Village Plaza, Birmingham,AL,35243, (205) 912-8400,8am to 10pm Monday - Saturday
-86.80197,33.3757,3780 Riverchase Village, Hoover,AL,35244, (205) 730-2680,7am to 10pm Seven Days a Week
-86.5904161,34.712443,2501 Memorial Pkwy SW, Huntsville,AL,35801, (256) 801-3741,8am to 9pm Seven Days A Week
-88.1504613,30.6761375,3968 Airport Blvd, Mobile,AL,36608, (251) 206-7028,8:00 a.m. to 9:00 p.m. Seven days a week
-86.1714041,32.3578148,1450 Taylor Rd, Montgomery,AL,36117, (334) 523-2940,8:00am - 9:00pm Mon-Sun
-94.1450778,36.1135626,3425 N College Avenue, Fayetteville,AR,72703, (479) 695-5561,STORE: 8am_10pm seven days a week; TAPROOM: 3pm_10pm
-92.405983,34.750473,501 Bowman Road, Little Rock,AR,72211, (501) 221-2331,7:30am to 10:0pm. Seven days a week.
-111.892393,33.320132,2955 West Ray Road, Chandler,AZ,85224, (480) 821-9447,Open Daily 7:00am -10:00pm
-111.6410751,35.1913071,320 S Cambridge Lane, Flagstaff,AZ,86001, (928) 774-5747,Open Daily 7am to 9pm
-111.978134,33.584612,10810 N Tatum Blvd, Phoenix,AZ,85028, (602) 569-7600,7am to 10pm seven days a week
-112.037912,33.506196,4701 N 20th Street, Phoenix,AZ,85016, (602) 761-4750,7am - 10pm seven days a week
-111.927354,33.654928,7111 E Mayo Blvd, Phoenix,AZ,85054, (480) 515-3777,7am to 10pm Seven days a week
-111.7852765,34.8629323,1420 West Hwy 89A, Sedona,AZ,86336, (928) 282-6311,8am - 9pm Monday-Saturday
-111.929691,33.379517,5120 S Rural Rd, Tempe,AZ,85282, (480) 456-1400,OPEN DAILY - 7am to 10pm Juice Bar open 7am to 9pm.
-110.921533,32.235935,3360 E Speedway Blvd, Tucson,AZ,85716, (520) 795-9844,7am - 10pm
-110.873985,32.273719,5555 E River Road, Tucson,AZ,85750-1949, (520) 461-1300,7:00 a.m. to 10:00 p.m. Seven days a week.
-110.978152,32.335801,7133 N Oracle Rd, Tucson,AZ,85704, (520) 352-0111,7:00 am - 10:00 pm Daily
-123.0052198,49.2662909,4420 Lougheed Highway, Burnaby,BC,V5C3Z3, (604) 205-5032,7:00 am to 10:00 pm. Seven days a week
